All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Logan Kensing RP  DET "	15.3	0	0	0	2	1	0	0	13	7	12	5.87	1.24	838
"Danny Farquhar RP  TB"	51.0	0	0	0	1	8	1	2	48	17	53	5.12	1.37	840
"Bobby LaFromboise RP  PHI "	8.0	0	0	0	0	0	0	0	8	1	5	1.12	0.75	841
"Peter Moylan RP  KC "	10.3	0	0	0	1	0	0	1	8	0	12	3.48	1.16	844
"Sam LeCure RP  ARI "	20.0	0	0	0	0	2	0	1	15	7	16	3.15	1.15	846
"Ryan Mattheus RP  CIN "	56.0	0	0	0	2	4	0	1	37	18	67	4.02	1.52	848
"Nick Rumbelow RP  NYY"	15.7	0	0	0	1	1	0	0	15	5	16	4.02	1.34	849
"Shawn Armstrong RP  CLE"	8.0	0	0	0	0	0	0	0	11	2	5	2.25	0.88	850
"Scott Oberg RP  COL"	58.3	0	0	0	3	4	1	2	44	31	58	5.09	1.53	855
"Christian Bergman RP  COL"	68.3	4	0	0	3	1	0	0	37	15	82	4.74	1.42	858
"Nick Vincent RP  SD"	23.0	0	0	0	0	1	0	2	22	10	25	2.35	1.52	862
"Rafael Betancourt RP  COL"	39.3	0	0	0	2	4	1	3	40	12	43	6.18	1.40	863
"Mitch Harris RP  STL"	27.0	0	0	0	2	1	0	0	15	13	30	3.67	1.59	867
"Buddy Carlyle RP  NYM"	8.0	0	0	0	1	0	1	0	6	1	8	5.62	1.12	869
"Louis Coleman RP  LAD "	3.0	0	0	0	1	0	0	0	1	2	1	0.00	1.00	870
"Rafael Soriano RP  CHC"	5.7	0	0	0	2	0	0	1	4	1	8	6.35	1.59	871
"Michael Tonkin RP  MIN"	23.3	0	0	0	0	0	0	0	19	9	21	3.47	1.29	872
"Marc Rzepczynski RP  OAK"	35.0	0	0	0	2	4	0	4	41	14	40	5.66	1.54	874
"Samuel Tuivailala RP  STL"	14.7	0	0	0	0	1	0	0	20	8	13	3.07	1.43	876
"David Hale SP  COL"	78.3	12	2	0	5	5	0	0	61	20	95	6.09	1.47	877
