All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
W ,Garrett Cleavinger RP | TB,57,64,0,0,0,3,3,1,0,6,82,22,42,3.47,1.12,644
Disco Bush Horticulturists,Joe Barlow RP | TEX,52,55,0,0,0,5,1,1,0,5,43,19,34,3.12,1.02,645
W ,Collin McHugh RP | ATL,50,25,13,3,0,3,2,0,0,1,57,10,39,2.52,0.98,649
W ,Seth Martinez RP | HOU,65,55,0,0,0,2,3,1,0,7,63,25,45,2.49,1.08,650
W ,Jake Cousins RP | MIL,60,62,0,0,0,2,2,1,0,10,90,37,38,2.70,1.25,651
W ,Chris Martin RP | BOS,62,71,0,0,0,3,1,4,1,15,79,7,68,3.63,1.21,652
W ,Zach Davies SP | ARI ,148,29,29,5,0,4,6,0,0,0,112,44,140,4.01,1.24,654
W ,Trevor Stephan RP | CLE,62,58,0,0,0,3,4,1,0,15,81,21,53,3.19,1.19,656
W ,Reynaldo Lopez RP | CHW,51,25,13,3,0,4,5,0,0,1,49,10,39,3.00,0.96,659
W ,Vince Velasquez RP | PIT ,129,29,29,2,0,4,13,0,0,0,121,45,121,4.12,1.29,662
Los Cerveceros,A.J. Puk RP | MIA ,67,64,0,0,0,4,2,1,0,22,79,25,58,3.49,1.24,663
W ,Zack Greinke SP | KC,151,27,27,12,0,5,9,0,0,0,92,37,155,3.75,1.27,667
W ,Trevor May RP | OAK,71,78,0,0,0,3,1,6,1,20,93,27,67,4.18,1.32,669
W ,Andrew Bellatti RP | PHI,52,64,0,0,0,5,3,1,0,9,78,24,46,3.63,1.35,671
W ,JT Chargois RP | MIA,49,57,0,0,0,4,1,1,0,13,45,16,37,2.57,1.08,676
W ,Drew Smith RP | NYM,62,59,0,0,0,3,3,1,0,15,72,22,51,3.19,1.18,680
W ,Luis Garcia RP | SD,66,75,0,0,0,2,3,4,1,24,74,19,60,3.41,1.20,685
W ,Steven Okert RP | MIA ,51,64,0,0,0,4,2,1,0,18,68,27,37,3.18,1.25,686
W ,Seth Lugo RP | SD,61,24,14,5,0,5,4,0,0,1,70,19,57,3.69,1.25,687
W ,Ron Marinaccio RP | NYY ,50,54,0,0,0,1,1,1,0,8,67,29,25,2.16,1.08,689
W ,Elijah Morgan RP | CLE ,49,25,12,3,0,5,5,0,0,1,49,10,39,4.04,1.00,696
Los Cerveceros,Lucas Sims RP | CIN,72,81,0,0,0,5,2,2,0,15,127,39,57,6.00,1.33,698
W ,Connor Brogdon RP | PHI,58,65,0,0,0,4,2,1,0,10,66,17,55,3.41,1.24,703
W ,Anthony Bass RP | TOR,50,61,0,0,0,2,2,5,1,19,54,17,43,2.70,1.20,704
W ,Ryan Feltner SP | COL,146,29,29,6,0,8,11,0,0,0,123,50,151,4.81,1.38,705
W ,Kyle Freeland SP | COL,168,30,30,14,0,8,10,0,0,0,129,53,184,4.50,1.41,708
W ,Ryne Stanek RP | HOU,49,58,0,0,0,2,1,1,0,17,57,26,31,2.02,1.16,710
W ,Jovani Moran RP | MIN,65,53,0,0,0,1,1,1,0,6,95,35,48,3.05,1.28,712
W ,Luis Cessa RP | CIN,143,29,29,7,0,5,9,0,0,0,114,47,136,4.47,1.28,713
W ,Caleb Ferguson RP | LAD,54,66,0,0,0,1,1,1,0,15,57,26,35,1.83,1.13,714
W ,Yimi Garcia RP | TOR,52,62,0,0,0,3,3,5,1,19,54,15,45,3.81,1.15,719
W ,Trevor Gott RP | SEA,58,64,0,0,0,4,3,1,0,17,57,16,45,4.19,1.05,721
W ,Caleb Thielbar RP | MIN,58,68,0,0,0,3,2,1,0,18,87,20,56,3.72,1.31,723
