All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Michael Lorenzen RP  LAA"	53	25	13	4	0	4	5	0	0	1	48	25	47	4.92	1.36	868
"Caleb Smith RP  ARI"	59	25	13	3	0	3	6	0	0	0	68	35	48	4.88	1.41	869
"Kolby Allard SP  TEX"	69	25	15	5	0	3	6	0	0	1	58	19	65	5.22	1.22	873
"Duane Underwood RP  PIT "	90	62	0	0	0	4	7	0	0	9	90	34	102	4.70	1.51	874
"Sam Howard RP  PIT"	47	64	0	0	0	3	4	1	0	13	76	33	38	5.75	1.51	876
"Drew Hutchison RP  DET "	35	19	7	2	0	3	3	0	0	0	26	15	33	3.34	1.37	877
"Lucas Gilbreath RP  COL"	50	63	0	0	0	2	2	1	0	6	60	31	45	3.96	1.52	881
"Tim Hill RP  SD"	36	58	0	0	0	3	3	1	0	15	40	16	36	4.50	1.44	883
"Joey Krehbiel RP  BAL"	74	60	0	0	0	2	2	1	0	14	77	36	67	4.74	1.39	884
"Ryan Hartman RP  BAL"	52	25	13	4	0	3	5	0	0	1	55	20	53	4.67	1.40	885
"Andres Munoz RP  SEA "	64	64	0	0	0	3	2	1	0	10	74	52	55	3.94	1.67	886
"Hansel Robles RP  BOS "	60	71	0	0	0	2	3	4	1	18	70	32	55	5.25	1.45	887
"Jordan Sheffield RP  COL"	50	56	0	0	0	1	1	1	0	7	38	25	36	3.78	1.22	889
"Richard Rodriguez RP  ATL"	9	9	0	0	0	1	0	5	1	2	6	1	6	3.00	0.78	891
"Cristopher Sanchez RP  PHI"	38	21	0	0	0	3	2	1	0	4	37	16	38	4.50	1.42	892
"Justin Bruihl RP  LAD "	25	38	0	0	0	1	1	1	0	5	20	9	18	2.88	1.08	893
"Derek Holland RP  DET "	56	25	14	3	0	4	5	0	0	0	60	21	60	5.30	1.45	894
"Dylan Lee RP  ATL"	49	46	0	0	0	2	1	1	0	6	50	17	48	4.78	1.33	896
"Trevor Williams SP  NYM"	51	25	12	2	0	3	4	0	0	0	46	17	55	4.41	1.41	897
"Jake Junis RP  SF "	51	25	13	2	0	3	4	0	0	0	44	13	53	4.94	1.29	898
"Tyler Kinley RP  COL"	66	73	0	0	0	1	1	1	0	11	74	28	56	5.18	1.27	899
"Darwinzon Hernandez RP  BOS"	50	65	0	0	0	2	3	1	0	18	82	46	43	4.14	1.78	900
"Justin Garza RP  CLE"	47	40	0	0	0	4	2	1	0	5	49	30	45	4.79	1.60	901
"Hunter Harvey RP  SF "	45	53	0	0	0	1	2	1	0	15	30	13	39	4.00	1.16	904
"Nick Allgeyer RP  TOR"	24	17	4	1	0	2	1	0	0	0	21	8	20	3.75	1.17	905
"Joe Smith RP  MIN "	47	72	0	0	0	4	2	1	0	6	47	10	60	5.36	1.49	906
"Robert Stephenson RP  COL"	57	68	0	0	0	1	1	1	0	6	76	25	61	4.42	1.51	907
"D.J. Johnson RP  TB"	25	29	0	0	0	1	1	0	0	3	24	7	19	3.60	1.04	908
"A.J. Puk RP  OAK "	47	22	11	3	0	3	4	0	0	0	47	17	50	4.79	1.43	909
"Austin Voth RP  WAS"	54	25	13	2	1	4	4	0	0	1	56	23	55	5.50	1.44	910
"Andres Machado RP  WAS"	54	73	0	0	0	3	1	1	0	21	57	28	57	4.50	1.57	911
"Ryan Helsley RP  STL "	55	70	0	0	0	3	3	1	0	14	60	34	49	5.07	1.51	913
"Michael Wacha SP  BOS"	60	24	14	2	0	2	4	0	0	0	60	14	65	5.10	1.32	915
"Francisco Perez RP  WAS"	51	33	0	0	0	2	2	0	0	7	52	21	50	4.59	1.39	916
"Jharel Cotton RP  MIN"	28	23	0	0	0	2	0	0	0	3	28	14	26	3.54	1.43	917
"Jimmy Nelson RP  LAD "	10	5	3	1	0	1	1	0	0	0	14	4	4	1.80	0.80	919
